Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Industry,Company,Timeframe
2015-01-05 05:00:00,24.115564788233296,24.195734868289982,23.474205846802384,23.66126823425293,257142000,0.0,0.0,Technology,AAPL,10y
2015-01-06 05:00:00,23.72585970943974,23.92405757389281,23.300512623440994,23.66350555419922,263188400,0.0,0.0,Technology,AAPL,10y
2015-01-07 05:00:00,23.872832983021304,24.095527326889126,23.761485811087393,23.995315551757812,160423600,0.0,0.0,Technology,AAPL,10y
2015-01-08 05:00:00,24.324902711486303,24.975169755287546,24.206873287961027,24.917268753051758,237458000,0.0,0.0,Technology,AAPL,10y
2015-01-09 05:00:00,25.09097190903041,25.220135039292984,24.543144014046415,24.943994522094727,214798000,0.0,0.0,Technology,AAPL,10y
2015-01-12 05:00:00,25.075378930142353,25.082059487589106,24.229141572772715,24.32935333251953,198603200,0.0,0.0,Technology,AAPL,10y
2015-01-13 05:00:00,24.814831974168793,25.119923851288746,24.253642948754624,24.545372009277344,268367600,0.0,0.0,Technology,AAPL,10y
2015-01-14 05:00:00,24.28259505955869,24.605501226434438,24.16233989215733,24.45184326171875,195826400,0.0,0.0,Technology,AAPL,10y
2015-01-15 05:00:00,24.496376037587304,24.509737153556845,23.752577798886094,23.7882080078125,240056000,0.0,0.0,Technology,AAPL,10y
2015-01-16 05:00:00,23.834974890873916,23.957457457239105,23.427443841720255,23.60337257385254,314053200,0.0,0.0,Technology,AAPL,10y
2015-01-20 05:00:00,24.01535261939484,24.266998267057435,23.716943071398276,24.21132469177246,199599600,0.0,0.0,Technology,AAPL,10y
2015-01-21 05:00:00,24.26254219264238,24.732427280013937,24.111110007626575,24.396160125732422,194303600,0.0,0.0,Technology,AAPL,10y
2015-01-22 05:00:00,24.55427612004538,25.04643036178159,24.43402098374896,25.030841827392578,215185600,0.0,0.0,Technology,AAPL,10y
2015-01-23 05:00:00,25.008575256465825,25.331481372372586,24.837099661876888,25.16000747680664,185859200,0.0,0.0,Technology,AAPL,10y
2015-01-26 05:00:00,25.329261344927605,25.467332488744212,25.11992975794412,25.186737060546875,222460000,0.0,0.0,Technology,AAPL,10y
2015-01-27 05:00:00,25.03529826024312,25.048661076493936,24.28036455445931,24.304861068725586,382274800,0.0,0.0,Technology,AAPL,10y
2015-01-28 05:00:00,26.19553532123924,26.304656774129587,25.678884506225586,25.678884506225586,585908400,0.0,0.0,Technology,AAPL,10y
2015-01-29 05:00:00,25.903807377160213,26.54294078942319,25.734559191166447,26.47835922241211,337745600,0.0,0.0,Technology,AAPL,10y
2015-01-30 05:00:00,26.367010411699074,26.723321018811966,26.021833502263554,26.090869903564453,334982000,0.0,0.0,Technology,AAPL,10y
2015-02-02 05:00:00,26.289070523396077,26.53848712534815,25.85036235157558,26.418231964111328,250956400,0.0,0.0,Technology,AAPL,10y
2015-02-03 05:00:00,26.389279225097873,26.5206680698437,26.191081398907162,26.422683715820312,207662800,0.0,0.0,Technology,AAPL,10y
2015-02-04 05:00:00,26.38928400913077,26.836900188303304,26.34697153327678,26.62533950805664,280598800,0.0,0.0,Technology,AAPL,10y
2015-02-05 05:00:00,26.833262754092647,26.8802146412026,26.66111208902792,26.815378189086914,168984800,0.1175,0.0,Technology,AAPL,10y
2015-02-06 05:00:00,26.833261212723496,26.88468381169887,26.48225127193503,26.589567184448242,174826400,0.0,0.0,Technology,AAPL,10y
2015-02-09 05:00:00,26.50460361777916,26.793011545559803,26.477774219640615,26.766183853149414,155559200,0.0,0.0,Technology,AAPL,10y
2015-02-10 05:00:00,26.86679490610053,27.30947065641,26.86456040190281,27.280405044555664,248034000,0.0,0.0,Technology,AAPL,10y
2015-02-11 05:00:00,27.448083069083964,27.92876582622823,27.38771905108365,27.919822692871094,294247200,0.0,0.0,Technology,AAPL,10y
2015-02-12 05:00:00,28.18364545592908,28.501120791014436,28.074095032844042,28.273075103759766,297898000,0.0,0.0,Technology,AAPL,10y
2015-02-13 05:00:00,28.456403727172283,28.456403727172283,28.09197993425669,28.41168975830078,217088800,0.0,0.0,Technology,AAPL,10y
2015-02-17 05:00:00,28.503354702577536,28.814123106112927,28.3759180114318,28.579370498657227,252609600,0.0,0.0,Technology,AAPL,10y
2015-02-18 05:00:00,28.53464941162004,28.791758955378995,28.494406163851437,28.778345108032227,179566800,0.0,0.0,Technology,AAPL,10y
2015-02-19 05:00:00,28.724686354836855,28.8476523081472,28.691151736414305,28.717979431152344,149449600,0.0,0.0,Technology,AAPL,10y
2015-02-20 05:00:00,28.755984665874507,28.952730178833008,28.628549712403764,28.952730178833008,195793600,0.0,0.0,Technology,AAPL,10y
2015-02-23 05:00:00,29.068993635922478,29.735240936279297,28.98850713302014,29.735240936279297,283896400,0.0,0.0,Technology,AAPL,10y
2015-02-24 05:00:00,29.72182350243156,29.86938264186229,29.326097959942413,29.549671173095703,276912400,0.0,0.0,Technology,AAPL,10y
2015-02-25 05:00:00,29.413291759928978,29.42223659898732,28.65090627439126,28.79399299621582,298846800,0.0,0.0,Technology,AAPL,10y
2015-02-26 05:00:00,28.79398756819315,29.2590201793227,28.306599686545077,29.15841293334961,365150000,0.0,0.0,Technology,AAPL,10y
2015-02-27 05:00:00,29.064519931985192,29.191958310724683,28.671032274876598,28.720218658447266,248059200,0.0,0.0,Technology,AAPL,10y
2015-03-02 05:00:00,28.896829804450142,29.127109877364134,28.684435993014155,28.86105728149414,192386800,0.0,0.0,Technology,AAPL,10y
2015-03-03 05:00:00,28.832000766882555,28.95720121041736,28.637489767181634,28.921428680419922,151265200,0.0,0.0,Technology,AAPL,10y
2015-03-04 05:00:00,28.86330200440946,28.96614376784611,28.688915178185262,28.73809814453125,126665200,0.0,0.0,Technology,AAPL,10y
2015-03-05 05:00:00,28.747043869702527,28.785050906184463,28.116567483132123,28.261890411376953,226068400,0.0,0.0,Technology,AAPL,10y
2015-03-06 05:00:00,28.706803609469112,28.923669932423294,28.22835870208837,28.304372787475586,291368400,0.0,0.0,Technology,AAPL,10y
2015-03-09 04:00:00,28.608428387263857,28.968383105607316,27.96006572260571,28.425098419189453,354114000,0.0,0.0,Technology,AAPL,10y
2015-03-10 04:00:00,28.26190010703659,28.44299392417712,27.678373689885074,27.83711051940918,275426400,0.0,0.0,Technology,AAPL,10y
2015-03-11 04:00:00,27.890755208650276,27.895225921890837,27.30052212866895,27.329586029052734,275756000,0.0,0.0,Technology,AAPL,10y
2015-03-12 04:00:00,27.345234420826387,27.924289829623643,27.193204593973046,27.823680877685547,193450800,0.0,0.0,Technology,AAPL,10y
2015-03-13 04:00:00,27.812513727619166,28.036086986352874,27.405610464952957,27.631418228149414,207309200,0.0,0.0,Technology,AAPL,10y
2015-03-16 04:00:00,27.696245434925036,27.935468673706055,27.470437747086372,27.935468673706055,143497200,0.0,0.0,Technology,AAPL,10y
2015-03-17 04:00:00,28.147872829185296,28.46534643834115,28.09197951606369,28.402746200561523,204092400,0.0,0.0,Technology,AAPL,10y
2015-03-18 04:00:00,28.393789826127957,28.87670864506969,28.252939356800496,28.722442626953125,261083600,0.0,0.0,Technology,AAPL,10y
2015-03-19 04:00:00,28.785055085724473,28.89684170741661,28.483231548301408,28.50558853149414,183238000,0.0,0.0,Technology,AAPL,10y
2015-03-20 04:00:00,28.673265842885986,28.706800461745296,27.982425402730957,28.147869110107422,274780400,0.0,0.0,Technology,AAPL,10y
